,Year,Game_idx,Team1,cum_win,cum_lose,Wpct,rank
0,2007,67,KIA,26,40,0.3939393939393939,8.0
1,2007,67,LG,33,32,0.5076923076923077,4.0
2,2007,67,SK,37,25,0.5967741935483871,1.0
3,2007,67,두산,36,30,0.5454545454545454,2.0
4,2007,67,롯데,29,36,0.4461538461538462,7.0
5,2007,67,삼성,32,32,0.5,5.0
6,2007,67,한화,35,30,0.5384615384615384,3.0
7,2007,67,현대,32,35,0.4776119402985074,6.0
