Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-3.0,7.0,3.0,2.5,0.0,6.5
LG,2.0,0.0,-1.0,9.0,5.0,4.5,2.0,8.5
SK,3.0,1.0,0.0,10.0,6.0,5.5,3.0,9.5
넥센,-7.0,-9.0,-10.0,0.0,-4.0,-4.5,-7.0,-0.5
두산,-3.0,-5.0,-6.0,4.0,0.0,-0.5,-3.0,3.5
롯데,-2.5,-4.5,-5.5,4.5,0.5,0.0,-2.5,4.0
삼성,0.0,-2.0,-3.0,7.0,3.0,2.5,0.0,6.5
한화,-6.5,-8.5,-9.5,0.5,-3.5,-4.0,-6.5,0.0
