Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-4.0,-11.0,-3.5,0.5,-6.0,-15.0,-1.5,-2.5,2.0
LG,4.0,0.0,-7.0,0.5,4.5,-2.0,-11.0,2.5,1.5,6.0
NC,11.0,7.0,0.0,7.5,11.5,5.0,-4.0,9.5,8.5,13.0
SK,3.5,-0.5,-7.5,0.0,4.0,-2.5,-11.5,2.0,1.0,5.5
kt,-0.5,-4.5,-11.5,-4.0,0.0,-6.5,-15.5,-2.0,-3.0,1.5
넥센,6.0,2.0,-5.0,2.5,6.5,0.0,-9.0,4.5,3.5,8.0
두산,15.0,11.0,4.0,11.5,15.5,9.0,0.0,13.5,12.5,17.0
롯데,1.5,-2.5,-9.5,-2.0,2.0,-4.5,-13.5,0.0,-1.0,3.5
삼성,2.5,-1.5,-8.5,-1.0,3.0,-3.5,-12.5,1.0,0.0,4.5
한화,-2.0,-6.0,-13.0,-5.5,-1.5,-8.0,-17.0,-3.5,-4.5,0.0
