Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,18.0,11.0,-3.5,-2.0,4.0,1.5
OB,-18.0,0.0,-7.0,-21.5,-20.0,-14.0,-16.5
롯데,-11.0,7.0,0.0,-14.5,-13.0,-7.0,-9.5
빙그레,3.5,21.5,14.5,0.0,1.5,7.5,5.0
삼성,2.0,20.0,13.0,-1.5,0.0,6.0,3.5
태평양,-4.0,14.0,7.0,-7.5,-6.0,0.0,-2.5
해태,-1.5,16.5,9.5,-5.0,-3.5,2.5,0.0
