Team1_x,LG,OB,롯데,삼성,쌍방울,태평양,한화,해태
LG,0.0,9.5,8.5,7.5,16.0,5.0,8.5,5.0
OB,-9.5,0.0,-1.0,-2.0,6.5,-4.5,-1.0,-4.5
롯데,-8.5,1.0,0.0,-1.0,7.5,-3.5,0.0,-3.5
삼성,-7.5,2.0,1.0,0.0,8.5,-2.5,1.0,-2.5
쌍방울,-16.0,-6.5,-7.5,-8.5,0.0,-11.0,-7.5,-11.0
태평양,-5.0,4.5,3.5,2.5,11.0,0.0,3.5,0.0
한화,-8.5,1.0,0.0,-1.0,7.5,-3.5,0.0,-3.5
해태,-5.0,4.5,3.5,2.5,11.0,0.0,3.5,0.0
