Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-12.5,-2.5,1.5,-7.0,-19.0,-0.5,0.5,2.5
LG,2.0,0.0,-10.5,-0.5,3.5,-5.0,-17.0,1.5,2.5,4.5
NC,12.5,10.5,0.0,10.0,14.0,5.5,-6.5,12.0,13.0,15.0
SK,2.5,0.5,-10.0,0.0,4.0,-4.5,-16.5,2.0,3.0,5.0
kt,-1.5,-3.5,-14.0,-4.0,0.0,-8.5,-20.5,-2.0,-1.0,1.0
넥센,7.0,5.0,-5.5,4.5,8.5,0.0,-12.0,6.5,7.5,9.5
두산,19.0,17.0,6.5,16.5,20.5,12.0,0.0,18.5,19.5,21.5
롯데,0.5,-1.5,-12.0,-2.0,2.0,-6.5,-18.5,0.0,1.0,3.0
삼성,-0.5,-2.5,-13.0,-3.0,1.0,-7.5,-19.5,-1.0,0.0,2.0
한화,-2.5,-4.5,-15.0,-5.0,-1.0,-9.5,-21.5,-3.0,-2.0,0.0
