Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,6.0,15.5,0.0,0.5,15.0,-4.5,12.0
OB,-6.0,0.0,9.5,-6.0,-5.5,9.0,-10.5,6.0
롯데,-15.5,-9.5,0.0,-15.5,-15.0,-0.5,-20.0,-3.5
삼성,0.0,6.0,15.5,0.0,0.5,15.0,-4.5,12.0
쌍방울,-0.5,5.5,15.0,-0.5,0.0,14.5,-5.0,11.5
한화,-15.0,-9.0,0.5,-15.0,-14.5,0.0,-19.5,-3.0
해태,4.5,10.5,20.0,4.5,5.0,19.5,0.0,16.5
현대,-12.0,-6.0,3.5,-12.0,-11.5,3.0,-16.5,0.0
