Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,7.5,-5.5,0.0,5.0,6.0,14.5,5.5
LG,-7.5,0.0,-13.0,-7.5,-2.5,-1.5,7.0,-2.0
SK,5.5,13.0,0.0,5.5,10.5,11.5,20.0,11.0
두산,0.0,7.5,-5.5,0.0,5.0,6.0,14.5,5.5
롯데,-5.0,2.5,-10.5,-5.0,0.0,1.0,9.5,0.5
삼성,-6.0,1.5,-11.5,-6.0,-1.0,0.0,8.5,-0.5
한화,-14.5,-7.0,-20.0,-14.5,-9.5,-8.5,0.0,-9.0
히어로즈,-5.5,2.0,-11.0,-5.5,-0.5,0.5,9.0,0.0
