Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,4.5,-4.5,-0.5,15.0,-3.5,-5.0,2.0,-5.0,-3.0
LG,-4.5,0.0,-9.0,-5.0,10.5,-8.0,-9.5,-2.5,-9.5,-7.5
NC,4.5,9.0,0.0,4.0,19.5,1.0,-0.5,6.5,-0.5,1.5
SK,0.5,5.0,-4.0,0.0,15.5,-3.0,-4.5,2.5,-4.5,-2.5
kt,-15.0,-10.5,-19.5,-15.5,0.0,-18.5,-20.0,-13.0,-20.0,-18.0
넥센,3.5,8.0,-1.0,3.0,18.5,0.0,-1.5,5.5,-1.5,0.5
두산,5.0,9.5,0.5,4.5,20.0,1.5,0.0,7.0,0.0,2.0
롯데,-2.0,2.5,-6.5,-2.5,13.0,-5.5,-7.0,0.0,-7.0,-5.0
삼성,5.0,9.5,0.5,4.5,20.0,1.5,0.0,7.0,0.0,2.0
한화,3.0,7.5,-1.5,2.5,18.0,-0.5,-2.0,5.0,-2.0,0.0
