Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-1.5,-4.0,13.0,-2.0,-4.0,0.0,-4.0,0.0
LG,-2.5,0.0,-4.0,-6.5,10.5,-4.5,-6.5,-2.5,-6.5,-2.5
NC,1.5,4.0,0.0,-2.5,14.5,-0.5,-2.5,1.5,-2.5,1.5
SK,4.0,6.5,2.5,0.0,17.0,2.0,0.0,4.0,0.0,4.0
kt,-13.0,-10.5,-14.5,-17.0,0.0,-15.0,-17.0,-13.0,-17.0,-13.0
넥센,2.0,4.5,0.5,-2.0,15.0,0.0,-2.0,2.0,-2.0,2.0
두산,4.0,6.5,2.5,0.0,17.0,2.0,0.0,4.0,0.0,4.0
롯데,0.0,2.5,-1.5,-4.0,13.0,-2.0,-4.0,0.0,-4.0,0.0
삼성,4.0,6.5,2.5,0.0,17.0,2.0,0.0,4.0,0.0,4.0
한화,0.0,2.5,-1.5,-4.0,13.0,-2.0,-4.0,0.0,-4.0,0.0
