Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-14.5,-14.5,-11.0,29.0,-10.0,-0.5,-8.5
두산,14.5,0.0,0.0,3.5,43.5,4.5,14.0,6.0
롯데,14.5,0.0,0.0,3.5,43.5,4.5,14.0,6.0
삼성,11.0,-3.5,-3.5,0.0,40.0,1.0,10.5,2.5
쌍방울,-29.0,-43.5,-43.5,-40.0,0.0,-39.0,-29.5,-37.5
한화,10.0,-4.5,-4.5,-1.0,39.0,0.0,9.5,1.5
해태,0.5,-14.0,-14.0,-10.5,29.5,-9.5,0.0,-8.0
현대,8.5,-6.0,-6.0,-2.5,37.5,-1.5,8.0,0.0
