Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-8.0,0.0,17.0,-5.5,-7.0,3.0,-13.0,-1.0
LG,-5.5,0.0,-13.5,-5.5,11.5,-11.0,-12.5,-2.5,-18.5,-6.5
NC,8.0,13.5,0.0,8.0,25.0,2.5,1.0,11.0,-5.0,7.0
SK,0.0,5.5,-8.0,0.0,17.0,-5.5,-7.0,3.0,-13.0,-1.0
kt,-17.0,-11.5,-25.0,-17.0,0.0,-22.5,-24.0,-14.0,-30.0,-18.0
넥센,5.5,11.0,-2.5,5.5,22.5,0.0,-1.5,8.5,-7.5,4.5
두산,7.0,12.5,-1.0,7.0,24.0,1.5,0.0,10.0,-6.0,6.0
롯데,-3.0,2.5,-11.0,-3.0,14.0,-8.5,-10.0,0.0,-16.0,-4.0
삼성,13.0,18.5,5.0,13.0,30.0,7.5,6.0,16.0,0.0,12.0
한화,1.0,6.5,-7.0,1.0,18.0,-4.5,-6.0,4.0,-12.0,0.0
