Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,-1.0,2.0
LG,-2.0,0.0,-1.0,-2.0,4.0,1.0,-1.0,-2.0,-3.0,0.0
NC,-1.0,1.0,0.0,-1.0,5.0,2.0,0.0,-1.0,-2.0,1.0
SK,0.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,-1.0,2.0
kt,-6.0,-4.0,-5.0,-6.0,0.0,-3.0,-5.0,-6.0,-7.0,-4.0
넥센,-3.0,-1.0,-2.0,-3.0,3.0,0.0,-2.0,-3.0,-4.0,-1.0
두산,-1.0,1.0,0.0,-1.0,5.0,2.0,0.0,-1.0,-2.0,1.0
롯데,0.0,2.0,1.0,0.0,6.0,3.0,1.0,0.0,-1.0,2.0
삼성,1.0,3.0,2.0,1.0,7.0,4.0,2.0,1.0,0.0,3.0
한화,-2.0,0.0,-1.0,-2.0,4.0,1.0,-1.0,-2.0,-3.0,0.0
