Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,17.0,9.0,-4.5,-1.0,4.0,1.5
OB,-17.0,0.0,-8.0,-21.5,-18.0,-13.0,-15.5
롯데,-9.0,8.0,0.0,-13.5,-10.0,-5.0,-7.5
빙그레,4.5,21.5,13.5,0.0,3.5,8.5,6.0
삼성,1.0,18.0,10.0,-3.5,0.0,5.0,2.5
태평양,-4.0,13.0,5.0,-8.5,-5.0,0.0,-2.5
해태,-1.5,15.5,7.5,-6.0,-2.5,2.5,0.0
