Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,0.5,6.5,2.0,-7.0,-1.0,-0.5,-5.0,9.0
LG,-0.5,0.0,6.0,1.5,-7.5,-1.5,-1.0,-5.5,8.5
NC,-6.5,-6.0,0.0,-4.5,-13.5,-7.5,-7.0,-11.5,2.5
SK,-2.0,-1.5,4.5,0.0,-9.0,-3.0,-2.5,-7.0,7.0
넥센,7.0,7.5,13.5,9.0,0.0,6.0,6.5,2.0,16.0
두산,1.0,1.5,7.5,3.0,-6.0,0.0,0.5,-4.0,10.0
롯데,0.5,1.0,7.0,2.5,-6.5,-0.5,0.0,-4.5,9.5
삼성,5.0,5.5,11.5,7.0,-2.0,4.0,4.5,0.0,14.0
한화,-9.0,-8.5,-2.5,-7.0,-16.0,-10.0,-9.5,-14.0,0.0
