Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,17.0,8.0,-1.0,1.5,6.0,4.0
OB,-17.0,0.0,-9.0,-18.0,-15.5,-11.0,-13.0
롯데,-8.0,9.0,0.0,-9.0,-6.5,-2.0,-4.0
빙그레,1.0,18.0,9.0,0.0,2.5,7.0,5.0
삼성,-1.5,15.5,6.5,-2.5,0.0,4.5,2.5
태평양,-6.0,11.0,2.0,-7.0,-4.5,0.0,-2.0
해태,-4.0,13.0,4.0,-5.0,-2.5,2.0,0.0
