Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,19.5,12.0,-4.0,-4.0,4.0,1.5
OB,-19.5,0.0,-7.5,-23.5,-23.5,-15.5,-18.0
롯데,-12.0,7.5,0.0,-16.0,-16.0,-8.0,-10.5
빙그레,4.0,23.5,16.0,0.0,0.0,8.0,5.5
삼성,4.0,23.5,16.0,0.0,0.0,8.0,5.5
태평양,-4.0,15.5,8.0,-8.0,-8.0,0.0,-2.5
해태,-1.5,18.0,10.5,-5.5,-5.5,2.5,0.0
