Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-1.5,-13.0,2.5,15.5,-7.0,-22.0,5.5,5.0,5.0
LG,1.5,0.0,-11.5,4.0,17.0,-5.5,-20.5,7.0,6.5,6.5
NC,13.0,11.5,0.0,15.5,28.5,6.0,-9.0,18.5,18.0,18.0
SK,-2.5,-4.0,-15.5,0.0,13.0,-9.5,-24.5,3.0,2.5,2.5
kt,-15.5,-17.0,-28.5,-13.0,0.0,-22.5,-37.5,-10.0,-10.5,-10.5
넥센,7.0,5.5,-6.0,9.5,22.5,0.0,-15.0,12.5,12.0,12.0
두산,22.0,20.5,9.0,24.5,37.5,15.0,0.0,27.5,27.0,27.0
롯데,-5.5,-7.0,-18.5,-3.0,10.0,-12.5,-27.5,0.0,-0.5,-0.5
삼성,-5.0,-6.5,-18.0,-2.5,10.5,-12.0,-27.0,0.5,0.0,0.0
한화,-5.0,-6.5,-18.0,-2.5,10.5,-12.0,-27.0,0.5,0.0,0.0
