Team1_x,LG,OB,롯데,빙그레,삼성,쌍방울,태평양,해태
LG,0.0,9.0,5.5,9.5,3.5,12.5,12.0,-6.0
OB,-9.0,0.0,-3.5,0.5,-5.5,3.5,3.0,-15.0
롯데,-5.5,3.5,0.0,4.0,-2.0,7.0,6.5,-11.5
빙그레,-9.5,-0.5,-4.0,0.0,-6.0,3.0,2.5,-15.5
삼성,-3.5,5.5,2.0,6.0,0.0,9.0,8.5,-9.5
쌍방울,-12.5,-3.5,-7.0,-3.0,-9.0,0.0,-0.5,-18.5
태평양,-12.0,-3.0,-6.5,-2.5,-8.5,0.5,0.0,-18.0
해태,6.0,15.0,11.5,15.5,9.5,18.5,18.0,0.0
