Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,6.5,-5.5,-1.0,5.0,6.0,14.5,4.5
LG,-6.5,0.0,-12.0,-7.5,-1.5,-0.5,8.0,-2.0
SK,5.5,12.0,0.0,4.5,10.5,11.5,20.0,10.0
두산,1.0,7.5,-4.5,0.0,6.0,7.0,15.5,5.5
롯데,-5.0,1.5,-10.5,-6.0,0.0,1.0,9.5,-0.5
삼성,-6.0,0.5,-11.5,-7.0,-1.0,0.0,8.5,-1.5
한화,-14.5,-8.0,-20.0,-15.5,-9.5,-8.5,0.0,-10.0
히어로즈,-4.5,2.0,-10.0,-5.5,0.5,1.5,10.0,0.0
