Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-9.0,4.0,-4.5,2.0,-1.0,5.0
LG,-2.5,0.0,-11.5,1.5,-7.0,-0.5,-3.5,2.5
SK,9.0,11.5,0.0,13.0,4.5,11.0,8.0,14.0
넥센,-4.0,-1.5,-13.0,0.0,-8.5,-2.0,-5.0,1.0
두산,4.5,7.0,-4.5,8.5,0.0,6.5,3.5,9.5
롯데,-2.0,0.5,-11.0,2.0,-6.5,0.0,-3.0,3.0
삼성,1.0,3.5,-8.0,5.0,-3.5,3.0,0.0,6.0
한화,-5.0,-2.5,-14.0,-1.0,-9.5,-3.0,-6.0,0.0
