Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-3.0,-3.5,-3.0,-4.5,-4.5,0.0,2.0
LG,3.0,0.0,-0.5,0.0,-1.5,-1.5,3.0,5.0
SK,3.5,0.5,0.0,0.5,-1.0,-1.0,3.5,5.5
넥센,3.0,0.0,-0.5,0.0,-1.5,-1.5,3.0,5.0
두산,4.5,1.5,1.0,1.5,0.0,0.0,4.5,6.5
롯데,4.5,1.5,1.0,1.5,0.0,0.0,4.5,6.5
삼성,0.0,-3.0,-3.5,-3.0,-4.5,-4.5,0.0,2.0
한화,-2.0,-5.0,-5.5,-5.0,-6.5,-6.5,-2.0,0.0
