Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,17.5,3.5,3.0,10.0,11.0,28.5,12.5
LG,-17.5,0.0,-14.0,-14.5,-7.5,-6.5,11.0,-5.0
SK,-3.5,14.0,0.0,-0.5,6.5,7.5,25.0,9.0
두산,-3.0,14.5,0.5,0.0,7.0,8.0,25.5,9.5
롯데,-10.0,7.5,-6.5,-7.0,0.0,1.0,18.5,2.5
삼성,-11.0,6.5,-7.5,-8.0,-1.0,0.0,17.5,1.5
한화,-28.5,-11.0,-25.0,-25.5,-18.5,-17.5,0.0,-16.0
히어로즈,-12.5,5.0,-9.0,-9.5,-2.5,-1.5,16.0,0.0
