Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-5.0,-1.0,17.0,-5.5,-6.0,3.0,-10.0,-1.0
LG,-5.5,0.0,-10.5,-6.5,11.5,-11.0,-11.5,-2.5,-15.5,-6.5
NC,5.0,10.5,0.0,4.0,22.0,-0.5,-1.0,8.0,-5.0,4.0
SK,1.0,6.5,-4.0,0.0,18.0,-4.5,-5.0,4.0,-9.0,0.0
kt,-17.0,-11.5,-22.0,-18.0,0.0,-22.5,-23.0,-14.0,-27.0,-18.0
넥센,5.5,11.0,0.5,4.5,22.5,0.0,-0.5,8.5,-4.5,4.5
두산,6.0,11.5,1.0,5.0,23.0,0.5,0.0,9.0,-4.0,5.0
롯데,-3.0,2.5,-8.0,-4.0,14.0,-8.5,-9.0,0.0,-13.0,-4.0
삼성,10.0,15.5,5.0,9.0,27.0,4.5,4.0,13.0,0.0,9.0
한화,1.0,6.5,-4.0,0.0,18.0,-4.5,-5.0,4.0,-9.0,0.0
