Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-8.0,-4.5,-20.5,-12.5,-12.0,-18.5
OB,8.0,0.0,3.5,-12.5,-4.5,-4.0,-10.5
롯데,4.5,-3.5,0.0,-16.0,-8.0,-7.5,-14.0
빙그레,20.5,12.5,16.0,0.0,8.0,8.5,2.0
삼성,12.5,4.5,8.0,-8.0,0.0,0.5,-6.0
태평양,12.0,4.0,7.5,-8.5,-0.5,0.0,-6.5
해태,18.5,10.5,14.0,-2.0,6.0,6.5,0.0
