Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-5.5,-1.5,14.0,-2.0,-5.0,-2.0,-5.0,-1.0
LG,-2.5,0.0,-8.0,-4.0,11.5,-4.5,-7.5,-4.5,-7.5,-3.5
NC,5.5,8.0,0.0,4.0,19.5,3.5,0.5,3.5,0.5,4.5
SK,1.5,4.0,-4.0,0.0,15.5,-0.5,-3.5,-0.5,-3.5,0.5
kt,-14.0,-11.5,-19.5,-15.5,0.0,-16.0,-19.0,-16.0,-19.0,-15.0
넥센,2.0,4.5,-3.5,0.5,16.0,0.0,-3.0,0.0,-3.0,1.0
두산,5.0,7.5,-0.5,3.5,19.0,3.0,0.0,3.0,0.0,4.0
롯데,2.0,4.5,-3.5,0.5,16.0,0.0,-3.0,0.0,-3.0,1.0
삼성,5.0,7.5,-0.5,3.5,19.0,3.0,0.0,3.0,0.0,4.0
한화,1.0,3.5,-4.5,-0.5,15.0,-1.0,-4.0,-1.0,-4.0,0.0
