Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,21.0,-6.5,-3.5,-8.0,9.0,4.5,-20.5
SK,-21.0,0.0,-27.5,-24.5,-29.0,-12.0,-16.5,-41.5
두산,6.5,27.5,0.0,3.0,-1.5,15.5,11.0,-14.0
롯데,3.5,24.5,-3.0,0.0,-4.5,12.5,8.0,-17.0
삼성,8.0,29.0,1.5,4.5,0.0,17.0,12.5,-12.5
한화,-9.0,12.0,-15.5,-12.5,-17.0,0.0,-4.5,-29.5
해태,-4.5,16.5,-11.0,-8.0,-12.5,4.5,0.0,-25.0
현대,20.5,41.5,14.0,17.0,12.5,29.5,25.0,0.0
