Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,6.5,-2.0,-5.0,-3.0,0.0,-1.5
OB,-6.5,0.0,-8.5,-11.5,-9.5,-6.5,-8.0
롯데,2.0,8.5,0.0,-3.0,-1.0,2.0,0.5
빙그레,5.0,11.5,3.0,0.0,2.0,5.0,3.5
삼성,3.0,9.5,1.0,-2.0,0.0,3.0,1.5
태평양,0.0,6.5,-2.0,-5.0,-3.0,0.0,-1.5
해태,1.5,8.0,-0.5,-3.5,-1.5,1.5,0.0
