Team1_x,LG,OB,롯데,삼성,쌍방울,태평양,한화,해태
LG,0.0,6.0,8.5,12.0,24.0,17.0,12.5,10.5
OB,-6.0,0.0,2.5,6.0,18.0,11.0,6.5,4.5
롯데,-8.5,-2.5,0.0,3.5,15.5,8.5,4.0,2.0
삼성,-12.0,-6.0,-3.5,0.0,12.0,5.0,0.5,-1.5
쌍방울,-24.0,-18.0,-15.5,-12.0,0.0,-7.0,-11.5,-13.5
태평양,-17.0,-11.0,-8.5,-5.0,7.0,0.0,-4.5,-6.5
한화,-12.5,-6.5,-4.0,-0.5,11.5,4.5,0.0,-2.0
해태,-10.5,-4.5,-2.0,1.5,13.5,6.5,2.0,0.0
