Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.0,-11.5,-3.5,3.5,-7.0,-17.0,-0.5,3.5,3.0
LG,-2.0,0.0,-13.5,-5.5,1.5,-9.0,-19.0,-2.5,1.5,1.0
NC,11.5,13.5,0.0,8.0,15.0,4.5,-5.5,11.0,15.0,14.5
SK,3.5,5.5,-8.0,0.0,7.0,-3.5,-13.5,3.0,7.0,6.5
kt,-3.5,-1.5,-15.0,-7.0,0.0,-10.5,-20.5,-4.0,0.0,-0.5
넥센,7.0,9.0,-4.5,3.5,10.5,0.0,-10.0,6.5,10.5,10.0
두산,17.0,19.0,5.5,13.5,20.5,10.0,0.0,16.5,20.5,20.0
롯데,0.5,2.5,-11.0,-3.0,4.0,-6.5,-16.5,0.0,4.0,3.5
삼성,-3.5,-1.5,-15.0,-7.0,0.0,-10.5,-20.5,-4.0,0.0,-0.5
한화,-3.0,-1.0,-14.5,-6.5,0.5,-10.0,-20.0,-3.5,0.5,0.0
