Team1_x,MBC,OB,롯데,빙그레,삼성,태평양,해태
MBC,0.0,-2.0,2.5,-11.0,-6.0,-5.5,-11.5
OB,2.0,0.0,4.5,-9.0,-4.0,-3.5,-9.5
롯데,-2.5,-4.5,0.0,-13.5,-8.5,-8.0,-14.0
빙그레,11.0,9.0,13.5,0.0,5.0,5.5,-0.5
삼성,6.0,4.0,8.5,-5.0,0.0,0.5,-5.5
태평양,5.5,3.5,8.0,-5.5,-0.5,0.0,-6.0
해태,11.5,9.5,14.0,0.5,5.5,6.0,0.0
