Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,24.0,17.0,-6.0,-1.0,8.5,1.5
OB,-24.0,0.0,-7.0,-30.0,-25.0,-15.5,-22.5
롯데,-17.0,7.0,0.0,-23.0,-18.0,-8.5,-15.5
빙그레,6.0,30.0,23.0,0.0,5.0,14.5,7.5
삼성,1.0,25.0,18.0,-5.0,0.0,9.5,2.5
태평양,-8.5,15.5,8.5,-14.5,-9.5,0.0,-7.0
해태,-1.5,22.5,15.5,-7.5,-2.5,7.0,0.0
