Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-8.5,-9.5,-6.0,26.5,-2.0,1.0,-3.5
두산,8.5,0.0,-1.0,2.5,35.0,6.5,9.5,5.0
롯데,9.5,1.0,0.0,3.5,36.0,7.5,10.5,6.0
삼성,6.0,-2.5,-3.5,0.0,32.5,4.0,7.0,2.5
쌍방울,-26.5,-35.0,-36.0,-32.5,0.0,-28.5,-25.5,-30.0
한화,2.0,-6.5,-7.5,-4.0,28.5,0.0,3.0,-1.5
해태,-1.0,-9.5,-10.5,-7.0,25.5,-3.0,0.0,-4.5
현대,3.5,-5.0,-6.0,-2.5,30.0,1.5,4.5,0.0
