Team1_x,LG,OB,롯데,빙그레,삼성,쌍방울,태평양,해태
LG,0.0,-7.0,-19.5,-23.5,-14.5,5.0,-4.0,-21.5
OB,7.0,0.0,-12.5,-16.5,-7.5,12.0,3.0,-14.5
롯데,19.5,12.5,0.0,-4.0,5.0,24.5,15.5,-2.0
빙그레,23.5,16.5,4.0,0.0,9.0,28.5,19.5,2.0
삼성,14.5,7.5,-5.0,-9.0,0.0,19.5,10.5,-7.0
쌍방울,-5.0,-12.0,-24.5,-28.5,-19.5,0.0,-9.0,-26.5
태평양,4.0,-3.0,-15.5,-19.5,-10.5,9.0,0.0,-17.5
해태,21.5,14.5,2.0,-2.0,7.0,26.5,17.5,0.0
