Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.5,-1.5,-5.0,12.0,-3.0,-4.0,0.0,-5.0,-1.0
LG,-2.5,0.0,-4.0,-7.5,9.5,-5.5,-6.5,-2.5,-7.5,-3.5
NC,1.5,4.0,0.0,-3.5,13.5,-1.5,-2.5,1.5,-3.5,0.5
SK,5.0,7.5,3.5,0.0,17.0,2.0,1.0,5.0,0.0,4.0
kt,-12.0,-9.5,-13.5,-17.0,0.0,-15.0,-16.0,-12.0,-17.0,-13.0
넥센,3.0,5.5,1.5,-2.0,15.0,0.0,-1.0,3.0,-2.0,2.0
두산,4.0,6.5,2.5,-1.0,16.0,1.0,0.0,4.0,-1.0,3.0
롯데,0.0,2.5,-1.5,-5.0,12.0,-3.0,-4.0,0.0,-5.0,-1.0
삼성,5.0,7.5,3.5,0.0,17.0,2.0,1.0,5.0,0.0,4.0
한화,1.0,3.5,-0.5,-4.0,13.0,-2.0,-3.0,1.0,-4.0,0.0
