Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-2.0,-4.0,-1.0,-2.5,-5.5,-3.0,-2.0,3.0
LG,2.0,0.0,0.0,-2.0,1.0,-0.5,-3.5,-1.0,0.0,5.0
NC,2.0,0.0,0.0,-2.0,1.0,-0.5,-3.5,-1.0,0.0,5.0
SK,4.0,2.0,2.0,0.0,3.0,1.5,-1.5,1.0,2.0,7.0
kt,1.0,-1.0,-1.0,-3.0,0.0,-1.5,-4.5,-2.0,-1.0,4.0
넥센,2.5,0.5,0.5,-1.5,1.5,0.0,-3.0,-0.5,0.5,5.5
두산,5.5,3.5,3.5,1.5,4.5,3.0,0.0,2.5,3.5,8.5
롯데,3.0,1.0,1.0,-1.0,2.0,0.5,-2.5,0.0,1.0,6.0
삼성,2.0,0.0,0.0,-2.0,1.0,-0.5,-3.5,-1.0,0.0,5.0
한화,-3.0,-5.0,-5.0,-7.0,-4.0,-5.5,-8.5,-6.0,-5.0,0.0
