Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,3.5,-2.5,-4.0,2.5,-3.5,-3.5,-1.5
LG,-3.5,0.0,-6.0,-7.5,-1.0,-7.0,-7.0,-5.0
SK,2.5,6.0,0.0,-1.5,5.0,-1.0,-1.0,1.0
두산,4.0,7.5,1.5,0.0,6.5,0.5,0.5,2.5
롯데,-2.5,1.0,-5.0,-6.5,0.0,-6.0,-6.0,-4.0
삼성,3.5,7.0,1.0,-0.5,6.0,0.0,0.0,2.0
한화,3.5,7.0,1.0,-0.5,6.0,0.0,0.0,2.0
현대,1.5,5.0,-1.0,-2.5,4.0,-2.0,-2.0,0.0
