Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-4.0,-16.0,-2.5,-0.5,-7.0,-18.0,-2.5,-3.5,0.0
LG,4.0,0.0,-12.0,1.5,3.5,-3.0,-14.0,1.5,0.5,4.0
NC,16.0,12.0,0.0,13.5,15.5,9.0,-2.0,13.5,12.5,16.0
SK,2.5,-1.5,-13.5,0.0,2.0,-4.5,-15.5,0.0,-1.0,2.5
kt,0.5,-3.5,-15.5,-2.0,0.0,-6.5,-17.5,-2.0,-3.0,0.5
넥센,7.0,3.0,-9.0,4.5,6.5,0.0,-11.0,4.5,3.5,7.0
두산,18.0,14.0,2.0,15.5,17.5,11.0,0.0,15.5,14.5,18.0
롯데,2.5,-1.5,-13.5,0.0,2.0,-4.5,-15.5,0.0,-1.0,2.5
삼성,3.5,-0.5,-12.5,1.0,3.0,-3.5,-14.5,1.0,0.0,3.5
한화,0.0,-4.0,-16.0,-2.5,-0.5,-7.0,-18.0,-2.5,-3.5,0.0
