Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,9.5,-0.5,0.0,3.0,4.0,19.5,9.5
LG,-9.5,0.0,-10.0,-9.5,-6.5,-5.5,10.0,0.0
SK,0.5,10.0,0.0,0.5,3.5,4.5,20.0,10.0
두산,0.0,9.5,-0.5,0.0,3.0,4.0,19.5,9.5
롯데,-3.0,6.5,-3.5,-3.0,0.0,1.0,16.5,6.5
삼성,-4.0,5.5,-4.5,-4.0,-1.0,0.0,15.5,5.5
한화,-19.5,-10.0,-20.0,-19.5,-16.5,-15.5,0.0,-10.0
히어로즈,-9.5,0.0,-10.0,-9.5,-6.5,-5.5,10.0,0.0
