Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.5,-7.5,-2.5,14.0,-6.5,-8.0,1.0,-10.0,-4.0
LG,-1.5,0.0,-9.0,-4.0,12.5,-8.0,-9.5,-0.5,-11.5,-5.5
NC,7.5,9.0,0.0,5.0,21.5,1.0,-0.5,8.5,-2.5,3.5
SK,2.5,4.0,-5.0,0.0,16.5,-4.0,-5.5,3.5,-7.5,-1.5
kt,-14.0,-12.5,-21.5,-16.5,0.0,-20.5,-22.0,-13.0,-24.0,-18.0
넥센,6.5,8.0,-1.0,4.0,20.5,0.0,-1.5,7.5,-3.5,2.5
두산,8.0,9.5,0.5,5.5,22.0,1.5,0.0,9.0,-2.0,4.0
롯데,-1.0,0.5,-8.5,-3.5,13.0,-7.5,-9.0,0.0,-11.0,-5.0
삼성,10.0,11.5,2.5,7.5,24.0,3.5,2.0,11.0,0.0,6.0
한화,4.0,5.5,-3.5,1.5,18.0,-2.5,-4.0,5.0,-6.0,0.0
