Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,18.5,-7.0,1.5,0.5,9.5,6.0,-8.0
SK,-18.5,0.0,-25.5,-17.0,-18.0,-9.0,-12.5,-26.5
두산,7.0,25.5,0.0,8.5,7.5,16.5,13.0,-1.0
롯데,-1.5,17.0,-8.5,0.0,-1.0,8.0,4.5,-9.5
삼성,-0.5,18.0,-7.5,1.0,0.0,9.0,5.5,-8.5
한화,-9.5,9.0,-16.5,-8.0,-9.0,0.0,-3.5,-17.5
해태,-6.0,12.5,-13.0,-4.5,-5.5,3.5,0.0,-14.0
현대,8.0,26.5,1.0,9.5,8.5,17.5,14.0,0.0
