Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-1.5,-14.0,2.5,17.5,-7.0,-22.0,5.5,5.0,4.0
LG,1.5,0.0,-12.5,4.0,19.0,-5.5,-20.5,7.0,6.5,5.5
NC,14.0,12.5,0.0,16.5,31.5,7.0,-8.0,19.5,19.0,18.0
SK,-2.5,-4.0,-16.5,0.0,15.0,-9.5,-24.5,3.0,2.5,1.5
kt,-17.5,-19.0,-31.5,-15.0,0.0,-24.5,-39.5,-12.0,-12.5,-13.5
넥센,7.0,5.5,-7.0,9.5,24.5,0.0,-15.0,12.5,12.0,11.0
두산,22.0,20.5,8.0,24.5,39.5,15.0,0.0,27.5,27.0,26.0
롯데,-5.5,-7.0,-19.5,-3.0,12.0,-12.5,-27.5,0.0,-0.5,-1.5
삼성,-5.0,-6.5,-19.0,-2.5,12.5,-12.0,-27.0,0.5,0.0,-1.0
한화,-4.0,-5.5,-18.0,-1.5,13.5,-11.0,-26.0,1.5,1.0,0.0
