Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-1.0,1.0,-2.0,-2.5,-4.0,-3.0,-7.0
OB,1.0,0.0,2.0,-1.0,-1.5,-3.0,-2.0,-6.0
롯데,-1.0,-2.0,0.0,-3.0,-3.5,-5.0,-4.0,-8.0
삼성,2.0,1.0,3.0,0.0,-0.5,-2.0,-1.0,-5.0
쌍방울,2.5,1.5,3.5,0.5,0.0,-1.5,-0.5,-4.5
한화,4.0,3.0,5.0,2.0,1.5,0.0,1.0,-3.0
해태,3.0,2.0,4.0,1.0,0.5,-1.0,0.0,-4.0
현대,7.0,6.0,8.0,5.0,4.5,3.0,4.0,0.0
