Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-3.0,-8.0,-2.0,20.5,3.0,3.0,-2.5
두산,3.0,0.0,-5.0,1.0,23.5,6.0,6.0,0.5
롯데,8.0,5.0,0.0,6.0,28.5,11.0,11.0,5.5
삼성,2.0,-1.0,-6.0,0.0,22.5,5.0,5.0,-0.5
쌍방울,-20.5,-23.5,-28.5,-22.5,0.0,-17.5,-17.5,-23.0
한화,-3.0,-6.0,-11.0,-5.0,17.5,0.0,0.0,-5.5
해태,-3.0,-6.0,-11.0,-5.0,17.5,0.0,0.0,-5.5
현대,2.5,-0.5,-5.5,0.5,23.0,5.5,5.5,0.0
