Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,22.0,-6.5,-3.5,-7.0,10.0,5.5,-19.5
SK,-22.0,0.0,-28.5,-25.5,-29.0,-12.0,-16.5,-41.5
두산,6.5,28.5,0.0,3.0,-0.5,16.5,12.0,-13.0
롯데,3.5,25.5,-3.0,0.0,-3.5,13.5,9.0,-16.0
삼성,7.0,29.0,0.5,3.5,0.0,17.0,12.5,-12.5
한화,-10.0,12.0,-16.5,-13.5,-17.0,0.0,-4.5,-29.5
해태,-5.5,16.5,-12.0,-9.0,-12.5,4.5,0.0,-25.0
현대,19.5,41.5,13.0,16.0,12.5,29.5,25.0,0.0
