Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-11.0,2.0,17.0,-4.5,-8.0,3.0,-14.0,0.0
LG,-5.5,0.0,-16.5,-3.5,11.5,-10.0,-13.5,-2.5,-19.5,-5.5
NC,11.0,16.5,0.0,13.0,28.0,6.5,3.0,14.0,-3.0,11.0
SK,-2.0,3.5,-13.0,0.0,15.0,-6.5,-10.0,1.0,-16.0,-2.0
kt,-17.0,-11.5,-28.0,-15.0,0.0,-21.5,-25.0,-14.0,-31.0,-17.0
넥센,4.5,10.0,-6.5,6.5,21.5,0.0,-3.5,7.5,-9.5,4.5
두산,8.0,13.5,-3.0,10.0,25.0,3.5,0.0,11.0,-6.0,8.0
롯데,-3.0,2.5,-14.0,-1.0,14.0,-7.5,-11.0,0.0,-17.0,-3.0
삼성,14.0,19.5,3.0,16.0,31.0,9.5,6.0,17.0,0.0,14.0
한화,0.0,5.5,-11.0,2.0,17.0,-4.5,-8.0,3.0,-14.0,0.0
