Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,13.5,-4.5,3.5,0.5,8.5,6.0,-10.5
SK,-13.5,0.0,-18.0,-10.0,-13.0,-5.0,-7.5,-24.0
두산,4.5,18.0,0.0,8.0,5.0,13.0,10.5,-6.0
롯데,-3.5,10.0,-8.0,0.0,-3.0,5.0,2.5,-14.0
삼성,-0.5,13.0,-5.0,3.0,0.0,8.0,5.5,-11.0
한화,-8.5,5.0,-13.0,-5.0,-8.0,0.0,-2.5,-19.0
해태,-6.0,7.5,-10.5,-2.5,-5.5,2.5,0.0,-16.5
현대,10.5,24.0,6.0,14.0,11.0,19.0,16.5,0.0
