Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,8.0,13.0,9.5,37.0,2.5,14.5,6.0
LG,-8.0,0.0,5.0,1.5,29.0,-5.5,6.5,-2.0
SK,-13.0,-5.0,0.0,-3.5,24.0,-10.5,1.5,-7.0
두산,-9.5,-1.5,3.5,0.0,27.5,-7.0,5.0,-3.5
롯데,-37.0,-29.0,-24.0,-27.5,0.0,-34.5,-22.5,-31.0
삼성,-2.5,5.5,10.5,7.0,34.5,0.0,12.0,3.5
한화,-14.5,-6.5,-1.5,-5.0,22.5,-12.0,0.0,-8.5
현대,-6.0,2.0,7.0,3.5,31.0,-3.5,8.5,0.0
