Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-0.5,-11.0,2.0,-12.5,0.0,-3.5,-20.0,5.5
LG,0.5,0.0,-10.5,2.5,-12.0,0.5,-3.0,-19.5,6.0
NC,11.0,10.5,0.0,13.0,-1.5,11.0,7.5,-9.0,16.5
SK,-2.0,-2.5,-13.0,0.0,-14.5,-2.0,-5.5,-22.0,3.5
넥센,12.5,12.0,1.5,14.5,0.0,12.5,9.0,-7.5,18.0
두산,0.0,-0.5,-11.0,2.0,-12.5,0.0,-3.5,-20.0,5.5
롯데,3.5,3.0,-7.5,5.5,-9.0,3.5,0.0,-16.5,9.0
삼성,20.0,19.5,9.0,22.0,7.5,20.0,16.5,0.0,25.5
한화,-5.5,-6.0,-16.5,-3.5,-18.0,-5.5,-9.0,-25.5,0.0
