Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,4.5,17.5,3.0,8.5,15.0,1.5,16.5
OB,-4.5,0.0,13.0,-1.5,4.0,10.5,-3.0,12.0
롯데,-17.5,-13.0,0.0,-14.5,-9.0,-2.5,-16.0,-1.0
삼성,-3.0,1.5,14.5,0.0,5.5,12.0,-1.5,13.5
쌍방울,-8.5,-4.0,9.0,-5.5,0.0,6.5,-7.0,8.0
한화,-15.0,-10.5,2.5,-12.0,-6.5,0.0,-13.5,1.5
해태,-1.5,3.0,16.0,1.5,7.0,13.5,0.0,15.0
현대,-16.5,-12.0,1.0,-13.5,-8.0,-1.5,-15.0,0.0
