Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-7.0,-2.5,2.5,-3.0,-13.0,-0.5,-1.5,6.0
LG,2.0,0.0,-5.0,-0.5,4.5,-1.0,-11.0,1.5,0.5,8.0
NC,7.0,5.0,0.0,4.5,9.5,4.0,-6.0,6.5,5.5,13.0
SK,2.5,0.5,-4.5,0.0,5.0,-0.5,-10.5,2.0,1.0,8.5
kt,-2.5,-4.5,-9.5,-5.0,0.0,-5.5,-15.5,-3.0,-4.0,3.5
넥센,3.0,1.0,-4.0,0.5,5.5,0.0,-10.0,2.5,1.5,9.0
두산,13.0,11.0,6.0,10.5,15.5,10.0,0.0,12.5,11.5,19.0
롯데,0.5,-1.5,-6.5,-2.0,3.0,-2.5,-12.5,0.0,-1.0,6.5
삼성,1.5,-0.5,-5.5,-1.0,4.0,-1.5,-11.5,1.0,0.0,7.5
한화,-6.0,-8.0,-13.0,-8.5,-3.5,-9.0,-19.0,-6.5,-7.5,0.0
