Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.5,-9.5,-3.5,12.0,-7.5,-9.0,0.0,-10.0,-5.0
LG,-1.5,0.0,-11.0,-5.0,10.5,-9.0,-10.5,-1.5,-11.5,-6.5
NC,9.5,11.0,0.0,6.0,21.5,2.0,0.5,9.5,-0.5,4.5
SK,3.5,5.0,-6.0,0.0,15.5,-4.0,-5.5,3.5,-6.5,-1.5
kt,-12.0,-10.5,-21.5,-15.5,0.0,-19.5,-21.0,-12.0,-22.0,-17.0
넥센,7.5,9.0,-2.0,4.0,19.5,0.0,-1.5,7.5,-2.5,2.5
두산,9.0,10.5,-0.5,5.5,21.0,1.5,0.0,9.0,-1.0,4.0
롯데,0.0,1.5,-9.5,-3.5,12.0,-7.5,-9.0,0.0,-10.0,-5.0
삼성,10.0,11.5,0.5,6.5,22.0,2.5,1.0,10.0,0.0,5.0
한화,5.0,6.5,-4.5,1.5,17.0,-2.5,-4.0,5.0,-5.0,0.0
