Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,29.5,22.5,0.0,1.0,10.5,-0.5
OB,-29.5,0.0,-7.0,-29.5,-28.5,-19.0,-30.0
롯데,-22.5,7.0,0.0,-22.5,-21.5,-12.0,-23.0
빙그레,0.0,29.5,22.5,0.0,1.0,10.5,-0.5
삼성,-1.0,28.5,21.5,-1.0,0.0,9.5,-1.5
태평양,-10.5,19.0,12.0,-10.5,-9.5,0.0,-11.0
해태,0.5,30.0,23.0,0.5,1.5,11.0,0.0
