Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-9.5,-10.5,-7.0,27.5,-5.0,0.0,-4.5
두산,9.5,0.0,-1.0,2.5,37.0,4.5,9.5,5.0
롯데,10.5,1.0,0.0,3.5,38.0,5.5,10.5,6.0
삼성,7.0,-2.5,-3.5,0.0,34.5,2.0,7.0,2.5
쌍방울,-27.5,-37.0,-38.0,-34.5,0.0,-32.5,-27.5,-32.0
한화,5.0,-4.5,-5.5,-2.0,32.5,0.0,5.0,0.5
해태,0.0,-9.5,-10.5,-7.0,27.5,-5.0,0.0,-4.5
현대,4.5,-5.0,-6.0,-2.5,32.0,-0.5,4.5,0.0
