Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,2.0,-10.5,1.5,12.5,-8.0,-19.0,5.5,5.0,4.0
LG,-2.0,0.0,-12.5,-0.5,10.5,-10.0,-21.0,3.5,3.0,2.0
NC,10.5,12.5,0.0,12.0,23.0,2.5,-8.5,16.0,15.5,14.5
SK,-1.5,0.5,-12.0,0.0,11.0,-9.5,-20.5,4.0,3.5,2.5
kt,-12.5,-10.5,-23.0,-11.0,0.0,-20.5,-31.5,-7.0,-7.5,-8.5
넥센,8.0,10.0,-2.5,9.5,20.5,0.0,-11.0,13.5,13.0,12.0
두산,19.0,21.0,8.5,20.5,31.5,11.0,0.0,24.5,24.0,23.0
롯데,-5.5,-3.5,-16.0,-4.0,7.0,-13.5,-24.5,0.0,-0.5,-1.5
삼성,-5.0,-3.0,-15.5,-3.5,7.5,-13.0,-24.0,0.5,0.0,-1.0
한화,-4.0,-2.0,-14.5,-2.5,8.5,-12.0,-23.0,1.5,1.0,0.0
