Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,1.5,1.5,-7.0,0.5,-19.5,-0.5,-13.5
LG,-1.5,0.0,0.0,-8.5,-1.0,-21.0,-2.0,-15.0
SK,-1.5,0.0,0.0,-8.5,-1.0,-21.0,-2.0,-15.0
두산,7.0,8.5,8.5,0.0,7.5,-12.5,6.5,-6.5
롯데,-0.5,1.0,1.0,-7.5,0.0,-20.0,-1.0,-14.0
삼성,19.5,21.0,21.0,12.5,20.0,0.0,19.0,6.0
한화,0.5,2.0,2.0,-6.5,1.0,-19.0,0.0,-13.0
현대,13.5,15.0,15.0,6.5,14.0,-6.0,13.0,0.0
