Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-13.5,-3.5,1.5,-7.0,-19.0,-0.5,-0.5,1.5
LG,2.0,0.0,-11.5,-1.5,3.5,-5.0,-17.0,1.5,1.5,3.5
NC,13.5,11.5,0.0,10.0,15.0,6.5,-5.5,13.0,13.0,15.0
SK,3.5,1.5,-10.0,0.0,5.0,-3.5,-15.5,3.0,3.0,5.0
kt,-1.5,-3.5,-15.0,-5.0,0.0,-8.5,-20.5,-2.0,-2.0,0.0
넥센,7.0,5.0,-6.5,3.5,8.5,0.0,-12.0,6.5,6.5,8.5
두산,19.0,17.0,5.5,15.5,20.5,12.0,0.0,18.5,18.5,20.5
롯데,0.5,-1.5,-13.0,-3.0,2.0,-6.5,-18.5,0.0,0.0,2.0
삼성,0.5,-1.5,-13.0,-3.0,2.0,-6.5,-18.5,0.0,0.0,2.0
한화,-1.5,-3.5,-15.0,-5.0,0.0,-8.5,-20.5,-2.0,-2.0,0.0
