Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-3.0,-10.0,-3.5,0.5,-5.0,-14.0,-1.5,-2.5,3.0
LG,3.0,0.0,-7.0,-0.5,3.5,-2.0,-11.0,1.5,0.5,6.0
NC,10.0,7.0,0.0,6.5,10.5,5.0,-4.0,8.5,7.5,13.0
SK,3.5,0.5,-6.5,0.0,4.0,-1.5,-10.5,2.0,1.0,6.5
kt,-0.5,-3.5,-10.5,-4.0,0.0,-5.5,-14.5,-2.0,-3.0,2.5
넥센,5.0,2.0,-5.0,1.5,5.5,0.0,-9.0,3.5,2.5,8.0
두산,14.0,11.0,4.0,10.5,14.5,9.0,0.0,12.5,11.5,17.0
롯데,1.5,-1.5,-8.5,-2.0,2.0,-3.5,-12.5,0.0,-1.0,4.5
삼성,2.5,-0.5,-7.5,-1.0,3.0,-2.5,-11.5,1.0,0.0,5.5
한화,-3.0,-6.0,-13.0,-6.5,-2.5,-8.0,-17.0,-4.5,-5.5,0.0
