Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,4.5,-5.0,-1.0,17.0,-6.5,-6.0,2.0,-10.0,-2.0
LG,-4.5,0.0,-9.5,-5.5,12.5,-11.0,-10.5,-2.5,-14.5,-6.5
NC,5.0,9.5,0.0,4.0,22.0,-1.5,-1.0,7.0,-5.0,3.0
SK,1.0,5.5,-4.0,0.0,18.0,-5.5,-5.0,3.0,-9.0,-1.0
kt,-17.0,-12.5,-22.0,-18.0,0.0,-23.5,-23.0,-15.0,-27.0,-19.0
넥센,6.5,11.0,1.5,5.5,23.5,0.0,0.5,8.5,-3.5,4.5
두산,6.0,10.5,1.0,5.0,23.0,-0.5,0.0,8.0,-4.0,4.0
롯데,-2.0,2.5,-7.0,-3.0,15.0,-8.5,-8.0,0.0,-12.0,-4.0
삼성,10.0,14.5,5.0,9.0,27.0,3.5,4.0,12.0,0.0,8.0
한화,2.0,6.5,-3.0,1.0,19.0,-4.5,-4.0,4.0,-8.0,0.0
