Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,0.0,-11.5,-2.5,2.5,-5.0,-17.0,1.5,2.5,3.5
LG,0.0,0.0,-11.5,-2.5,2.5,-5.0,-17.0,1.5,2.5,3.5
NC,11.5,11.5,0.0,9.0,14.0,6.5,-5.5,13.0,14.0,15.0
SK,2.5,2.5,-9.0,0.0,5.0,-2.5,-14.5,4.0,5.0,6.0
kt,-2.5,-2.5,-14.0,-5.0,0.0,-7.5,-19.5,-1.0,0.0,1.0
넥센,5.0,5.0,-6.5,2.5,7.5,0.0,-12.0,6.5,7.5,8.5
두산,17.0,17.0,5.5,14.5,19.5,12.0,0.0,18.5,19.5,20.5
롯데,-1.5,-1.5,-13.0,-4.0,1.0,-6.5,-18.5,0.0,1.0,2.0
삼성,-2.5,-2.5,-14.0,-5.0,0.0,-7.5,-19.5,-1.0,0.0,1.0
한화,-3.5,-3.5,-15.0,-6.0,-1.0,-8.5,-20.5,-2.0,-1.0,0.0
