Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,4.5,-12.0,2.0,16.0,-4.5,-9.0,2.0,-14.0,0.0
LG,-4.5,0.0,-16.5,-2.5,11.5,-9.0,-13.5,-2.5,-18.5,-4.5
NC,12.0,16.5,0.0,14.0,28.0,7.5,3.0,14.0,-2.0,12.0
SK,-2.0,2.5,-14.0,0.0,14.0,-6.5,-11.0,0.0,-16.0,-2.0
kt,-16.0,-11.5,-28.0,-14.0,0.0,-20.5,-25.0,-14.0,-30.0,-16.0
넥센,4.5,9.0,-7.5,6.5,20.5,0.0,-4.5,6.5,-9.5,4.5
두산,9.0,13.5,-3.0,11.0,25.0,4.5,0.0,11.0,-5.0,9.0
롯데,-2.0,2.5,-14.0,0.0,14.0,-6.5,-11.0,0.0,-16.0,-2.0
삼성,14.0,18.5,2.0,16.0,30.0,9.5,5.0,16.0,0.0,14.0
한화,0.0,4.5,-12.0,2.0,16.0,-4.5,-9.0,2.0,-14.0,0.0
