Team1_x,LG,두산,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,-5.5,-11.5,-3.0,23.5,0.0,1.0,-4.5
두산,5.5,0.0,-6.0,2.5,29.0,5.5,6.5,1.0
롯데,11.5,6.0,0.0,8.5,35.0,11.5,12.5,7.0
삼성,3.0,-2.5,-8.5,0.0,26.5,3.0,4.0,-1.5
쌍방울,-23.5,-29.0,-35.0,-26.5,0.0,-23.5,-22.5,-28.0
한화,0.0,-5.5,-11.5,-3.0,23.5,0.0,1.0,-4.5
해태,-1.0,-6.5,-12.5,-4.0,22.5,-1.0,0.0,-5.5
현대,4.5,-1.0,-7.0,1.5,28.0,4.5,5.5,0.0
