Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,8.5,1.5,-2.0,-1.0,0.5,-0.5
OB,-8.5,0.0,-7.0,-10.5,-9.5,-8.0,-9.0
롯데,-1.5,7.0,0.0,-3.5,-2.5,-1.0,-2.0
빙그레,2.0,10.5,3.5,0.0,1.0,2.5,1.5
삼성,1.0,9.5,2.5,-1.0,0.0,1.5,0.5
태평양,-0.5,8.0,1.0,-2.5,-1.5,0.0,-1.0
해태,0.5,9.0,2.0,-1.5,-0.5,1.0,0.0
