Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,22.0,14.5,-5.0,-1.0,6.5,2.5
OB,-22.0,0.0,-7.5,-27.0,-23.0,-15.5,-19.5
롯데,-14.5,7.5,0.0,-19.5,-15.5,-8.0,-12.0
빙그레,5.0,27.0,19.5,0.0,4.0,11.5,7.5
삼성,1.0,23.0,15.5,-4.0,0.0,7.5,3.5
태평양,-6.5,15.5,8.0,-11.5,-7.5,0.0,-4.0
해태,-2.5,19.5,12.0,-7.5,-3.5,4.0,0.0
